Review,Actual,predicted
"I was offered the opportunity to taste this product because of Vine. I would not normally purchase this type of product, so my review and opinion will be biased in that regard.<br /><br />I'm not a big soda drinker, I'd just rather drink water or coffee. I will occasionally drink a diet soft drink, usually Diet Pepsi or Diet Coke.<br /><br />Did you know that a single 12oz can of Coke Classic® has 140 calories and 39 grams of sugar? This 8oz can of Switch has 140 calories and 34grams of sugar. And this is healthy? 4 ounces less is size, same caloric content and more sugar per ounce that Classic Coke. OK, so it's not ""added"" sugar, but still, that's a lot of sugar. 100% Orange juice, 8 oz, has 120 calories and 28 grams of sugar.<br /><br />The can says it is ""Orange Tangerine"" but in fact the contents are #1: Water #2: Concentrates of Apple, Grape, Tangerine, Orange, and Acerola juices. Then they throw in some ""gum acacia"", ""natural flavors and colors"" and some ""ascorbic acid(vitamin C)"". And as a little surprise bonus, they have added ""soy"". Soy?<br /><br />I asked my wife to taste this product with me. I poured the drink into two glasses and we both took a sip. Her reaction was swift and strong... she hated it. I agreed with her. It was for me, sickly sweet and left a sugary aftertaste in my mouth. Not only that, but the taste was just nasty. It didn't taste at all like orange or tangerine to me. It just tasted terribly sweet with an undefined cirtus something taste. The carbonation did not add anything positive to the experience. Neither of us finished drinking our 4oz portion. It went down the sink.<br /><br />I would not purchase this product in the future and if I could have given it 0-stars, I would have. It's that bad.",0,0
"Although some may like this drink, it will not be a repeat buy for me.  140 calories for an 8+ oz serving is too much when that amount of orange juice is 115.  Actually this drink isn't 100% orange/tangerine juice, but a mix of juices.  Secondly, if this were unaltered juice, seems you wouldn't have to add ascorbic acid to get 100% of your daily Vitamin C since that amount of orange juice naturally provides over 150%. Perhaps the processing requires it. But, alas, the biggest issue for me was taste.  It tasted to me like dishwashing liquid smells.<br /><br />On the good side, the carbonization is just right and the flavor is bold for those who seek that.  There is no sugar added and the non-traditional taste is not overly sweet.  The taste may appeal to some, but I'm not a fan.",0,0
"This batch was horrible.  Since most regular coffee were out of stock, I tried this one.  It tastes and smells awful.  Do not buy this flavor.",0,0
"This is much too watery. It tastes very much like the tasteless hot cocoa one gets out of a vending machine.  After receiving the box and reading the list of ingredients,  I've decided not to order again.  This product if definitely not worth the money.",0,0
I bought those chips after reading good reviews but I was very disappointed with the taste. It was nothing like what I expected (granted that I expected good old kettle cooked potato chips). I bought the 6-flavor variety pack and there were many flavors I did not care for. It was worth trying them but I am not going to purchase them again in the future.,0,0
"I have a big sweet tooth and thought I would really like this, but it was too sweet even for me. I even tried adding water, but that didn't help. I haven't tried any of the other flavors, so I can't comment on the brand in general, but I'll never try this flavor again.",0,0
"First, the product pictured is not what you get.<br /><br />What you really get is are tiny packets called ""sticks"" suitable for flavoring bottled water. The box doesn't even say what size bottle it is sized for.<br /><br />I'm not keeping it so I can't tell you how it tastes.",0,0
"I really, really dislike Sucralose.  I don't like the taste, the aftertaste, or the after effects.  I bought this based on it NOT saying it was ""diet"" or ""low calorie"".  The first ingredient is Sugar so it's only partially sweetened with Sucralose.  Sucralose is buried way down in the ingredients list but the taste is noticeable.<br /><br />Sure wish Amazon contained the full nutrition and ingredients labels from all food products.",0,0
"i've never written an amazon review before, but this product was so horrible i had to warn would be buyers; i can eat pretty much anything, but i had to empty out both bottles... it just tasted like colored sugar water (very thin), sickening sweet.. don't know if there was any onion flavoring.. the only reason i bought this is because i couldn't get ken's steakhouse vidalia onion dressing shipped in California.  So far, the worst product i have purchased on amazon.  Buyer beware, unless you like sugar water, then ""drink up""..blech.",0,0
"I got sent the wrong item, which happens i know.  I tried to contact the company multiple times with no response.  I finally had to contact amazon and they are returning the item for me...",0,0
"This coffee tastes very flavorful and is not too strong, but I have to say it almost ruined my months' old Keurig Personal Brewer. The coffee is ground so finely that when the K-Cups are punctured by the needles (top and bottom), it gets packed into the needles and also sifts out through the holes made by the needles, going into the coffee cup creating a very nasty ""sludge"" in the bottom of each cup. I purchased a pack of 2 (48 K-Cups) and didn't even use one full pack. I do not recommend this brand or blend. It is a waste of money, which is something I couldn't really afford at this time. I sent a letter of complaint to the Wolfgang Puck company and, except for a ""cookie cutter"" letter acknowledging receipt of my comment, I have not received any further contact from them.",0,0
"This is not regular coffee as the description would lead you to believe... it's artificially flavored, and it appears from the other ratings that you either love the flavor or hate it. My household hated it. Of course, that would be my problem if the description was accurate, but it's not. Amazon refunded my money and said someone would check the information on the product page.",0,0
"Enjoyed the product, pleasant flavor,  used it to in all my cooking, i will be purchasing it again. Cans were dented on arrival... but did not harm the product.",1,0
"The packet of these seeds that I received must have been old because I don't believe even 10% of them grew. I tried some several times in soil and water and only got a few sprigs of grass. I garden regularly (I live in Florida) so it's not that I don't know how, and I even followed the instructions to the letter, but they did not grow.",0,0
"I had used this frequently on and off over the years and didn't realize that it is not sold in the US any longer.  In the past the instructions were in English on the packet but I don't recall what they were. Now it is entirely in German and no one I know speaks a word of the language. I don't have a scanner so one of the solutions suggested won't work.  Don't buy before realizing that if you don't speak German and have no one to translate you are in a pickle.. I have 10 packs now!  Another thing, all 10 packs expire in 6 months time, so don't buy in bulk unless you plan to eat a lot of sauerbraten.  Rated 1 only because I am unable to use the product and the product description does not mention either the language issue or the near term expiration date.",0,0
"THis product (which i am not allowed to return) has ingrediants of salt, spices, hydrolysed soy protein, that last item is the common industry con for adding msg to your food. Every soup on your grocers shelf contains msg, but, i digress. So, the third ingrediant is a form of MSG, further down the ingrediant list is proudly displayed ... Monosodium Gludamate, ...MSG. This does not add spice to your food, it stimulats your tongue into feeling that the food tastes good, when IT DOES NOT. MSG can make dogfood taste like hamburger. anyone who thinks this is making their food taste cajun may be serving ALPO.  Tones and Durkee (sp) do not contain MSG, I prefer Tones!<br /><br />I have 8 eight ounce cans of this stuff.. would anybody like to buy some hamburger from me?",0,0
The grains make this food really flakey. It just doesn't stick together and was falling off the spoon. A major mess really. It also doesn't have a zip lock top and I thought it did like many of the other pouch foods and took this with us out to dinner. I ended up putting the leftovers in a plastic baggie. My baby also was not a fan of this at all and she is not a picky eater. Even my dogs turned their nose up at it and I thought it tasted pretty nasty.,0,0
"I had to be taken to the ER in an ambulance earlier, the day before yesterday. I was having seizures, near-syncope (passing out, but still being somewhat conscious), couldn't breathe, and my blood pressure was at stroke level. I felt like and thought I was dying (or maybe already) dead for about 3 hours. It was painful and horrifying. I think I figured out what it was that caused my near-death experience. It was probably the energy-shot I took 20 minutes before then. I don't usually take something like that. Someone offered it to me, and I was so tired, I didn't even look at the bottle and took it. Please, don't use these!",0,0
Nowhere in the description does it mention anything about this coffee being flavored. I'm still not sure what flavor it is. Some type of nut. I wrongly assumed that Jamaican coffee would be similar to the Blue Mountain coffee which Jamaica is known for! How silly of me to assume that! I hate flavored coffees so I was so disappointed to now own 2 boxes of such a horrible coffee. It only says flavored very small on the box so I didn't notice it before I opened it. Hopefully I can pawn it off to visitors and buy some regular bold coffee-flavored coffee for myself!,0,0
Warning: this is a STRONG flavor.<br /><br />I thought that this would be Blue Mountain-y... oh no. It is like... rum flavored or something. Yuk.,0,0
"I guess there is a reason that the ingredient section on this page doesn't mention that the first ingredient is trans fat (partially hydrogenated oil).  Had I know, I would not have purchased this.  Consumers need to vote with their dollars and avoid buying items where the manufacturer is using cheap and unhealthy ingredients.",0,0
"I bought this seasoning because Amazon stopped selling the 12 count Konriko cajun seasoning so this was the one they had in a 12 count.  I bought it thinking it would be similar to the Konriko, BOY WAS I WRONG!!!<br /><br />First of all like another reviewer said some of the ingredients are as follows:  hydrolyzed soy protein, and Partially hydrogenated cottonseed and soy bean oil.  I was completely stumped as to why these two ingredients were necessary in a spice blend mix.  Now I know why with the hydrolyzed soy protein; as the other reviewer stated it's a industry way of adding MSG.  Well why in the world do we need that and what's up with the HYDROGENATED SOY BEAN AND COTTONSEED OIL!!!!  BESIDE IT BEING BAD FOR YOUR HEALTH IT CAUSES THE PRODUCT TO CAKE AND CLUMP.  I steer clear of products with hydrogenated oils in them.  An even though this may not have many trans fat an accumulation over time is what makes this deceptively bad for your health.  When I purchased this last year they did not have the ingredients listed in the description, now it is.  I think that AMAZON as a regular practice should require all food products/company's to list the ingredients of their product to sell on their site.  WHY WAIT UNTIL THE CUSTOMER PURCHASE IT TO FIND OUT???!!!  I don't think this is a customer friendly practice!!!!<br /><br />Not a good buy IMO.  I found my Konriko at another site and will be purchasing it from there; unless AMAZON brings it back at a 12 count offer; otherwise to buy one at $8 and $4.99 s/h is just way over priced and highway robbery!!!!",0,0
"These cups are artifically sweetened with sucralose - I didn't realize until I tried one, and ended up with a little bit of a headache, which made me check the ingredient list - it isn't noted on the front of the box.  They definitely have an artificial taste, I would not buy them again.",0,0
"I could not finish this drink, it is like drinking orange syrup. It may not have any added sugar in it but one can of 8.3 ounces has 34 sugar grams and 36 carbs. I'll stick to water when I want to quench my thirst!",0,0
I bought this bag and found it 50% cheaper at smart and final. It was also old and and white. This was terrible! I bought it to put in the candy canisters I give to co-workers. So I didn't find out it was OLD till a co-worker informed me. I was so embarrassed. Do not buy this candy. It all ended up in the trash. Very disappointed!,0,0
"I opened this product to find that the lollipops were all broke, I was very disappointed.  They did not package this product in a way that would help keep it from breaking.  You are better off buying them from a store around your area.",0,0
"I wonder if the other reviewer's order got mixed up at the warehouse or something?  We received organic juice boxes, just like the title says.",1,0
It's a shame to use so much corn syrup for babies! I'm very disappointed when I noticed that. The same kind sold in China is even better.,0,0
"I must be the odd man out here...but this powdered goat milk is horrible!  My 18 month old son is allergic to dairy and soy, hence the reason for goat milk.  We were going on vacation for two weeks, and I was afraid there would not be any source of goat milk at that destination. Being he drinks almost a quart a day of regular liquid goat milk I purchase from Trader Joe's, I figured I would go for the gusto and buy a two weeks supply for him. It smelled horrible and more importantly tasted horrible! Words cannot even describe how disgusting this stuff was.  My poor son almost threw up from tasting it which prompted me to smell it.  It smelled so bad, I couldn't even taste it myself.  Maybe we're just used to the regular brand he drinks?  My only advice, try a small amount first.  It is not returnable!!!",0,0
"The ""reviewer from Florida"" was being extremely kind in their review.<br />This gruel is not even fit for farm animals.  I've lived in Hawaii most<br />of my life and have shopped mostly in the local health food stores-so i have had<br />many many different batches of Basmati rice.  What Amazon has sent me is NOT<br />edible in my opinion.  It is not long grained as Basmati should be and does not<br />cook as it should - it fully cooks too soon and does not need the full amount of<br />water that Basmati usually does.<br />I am tempted to contact the FDA to see what it really is!<br /><br />My apologies to the ""reviewer from Florida"" - i should have listened to you and<br />passed on all this frustration - Amazon does not allow returns on groceries.<br />Needless to say - i am now stuck with several pounds of inedible rice.",0,0
I wish I had listened to the other bad reviews.  The artificial sweetener taste is awful.  I gave two stars only because my husband doesn't seem to mind.  I can't drink this- even if they were a bargain.,0,0
"I purchased this product because of its name, ""Rumford NATURALS Corn Starch"" (the word ""Naturals"" appears large and clear on the pictured product label). Also, the Amazon description said it was made from ""Non-Genetically Modified Corn"". The label on the product that I ACTUALLY received does NOT say Rumford NATURALS, but it is still MADE WITH Non-Genetically Modified Corn. I say ""made with"" because this product now contains more than ONE ingredient. Its ingredients are: Cornstarch, Calcium Sulfate*, and ONE of the suggested servings (1 Tblsp) contains 15% of the ""Daily Value"" of CALCIUM. That makes this product potentially a good source for dietary calcium supplementation. ON THE OTHER HAND, for persons who must restrict their calcium intake (example, some persons with kidney stones), it can pose a potential problem, even danger. Amazon provides themselves with a nice ""out"" for this. They list the following: Legal Disclaimer: ""Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product."" BUT, IT IS NOT FAIR FOR AMAZON TO NOT AT LEAST LIST THE CORRECT INGREDIENTS AND PHOTO OF THE PACKAGE SO THAT YOU DO NOT HAVE TO ORDER THE PRODUCT IN ORDER TO ""READ LABELS"" AND FIND OUT WHAT YOU HAVE PURCHASED.<br /><br />I WILL NOT BUY THIS PRODUCT AGAIN:<br /> * because I don't need extra calcium<br /> * because I don't believe that the Calcium Sulfate was added out of interest in the consumer's health<br />  but to make the product cheaper to produce so it can be priced competitively with other brands<br />  and still be touted as having been made from/with Non-Genetically Modified Corn<br /> and just on principal because I can't afford to throw it away and did not want the hassle of returning it.<br /><br />I am very, very displeased with Amazon's incorrect listing of the product, which was brought to their attention when I purchased it in February 2012, and so far nothing has been done.<br /><br />*Although Calcium Sulfate is considered a safe food additive it is basically the same thing as Plaster of Paris. AND, if you use too much of this product (basically the same amount as I had previous used of pure CORN STARCH), the very stiff sediment in the bottom of the cooking container (I make pudding in Pyrex in a microwave and usually stir it only every 30 seconds) will remind you of damp plaster!",0,0
"I received an undersized, sickly plant that could not be nurtured back to health. What was I thinking ordering a plant over the Internet? Never again!",0,0
"The coffee is good. However, at least half of these haven't been sealed correctly. When I brew them the edge of the foil pops open and coffee grounds go everywhere. Not fun to clean. It may have just been the batch we got, but I won't be ordering these again.",0,0
"I was hopeful, but left unsatisfied. The color of the bean grounds says it all; a light brown not the typical dark brown to black of real espresso, even decaf. Taste is weak and odd, not rich and solid. Certainly not worth the extra $$. Recommend Cafe Bustelo instead.",0,0
They tomatoes are certified San Marzano but not DOP like the item shows in picture. I called amazon and they sent me another box of 12 for free to fix issue. THe new shipment was still certified not DOP.  So please know this. Tomatoes are ok but not the best fyi.,0,0
"One reviewer mentioned that this coffee was decaff and said it was listed as such on the bottom of the box (in small print). I checked my current box and saw no such labeling information. HOWEVER, the new boxes I received are a different color, with a slapped on label for Hawaiian Hazelnut and NOW the bottom of the box says it's made from 100% decaff coffee. While I like the flavor, I do NOT want decaff in the morning, which is when I drink coffee.<br /><br />Unfortunately, I am unable to return this item to Amazon because of their return policy, which is why I'm writing this review, to make sure others know the coffee packaging has changed and it is definitely labeled as decaffeinated now. I would give more stars for flavor, but the lack of official notification in the product description that this coffee is decaff makes me feel as if I tossed my money out the window, buying something I would not have otherwise ordered.",0,0
My cats absolutely would not eat this food so it was a waste of money..it is just sitting in our cabinets.  I will donate it to a shelter...,0,0
"I bought both the Creme Caramel and this Hazelnut kcup and I couldn't tell them apart even if my life depended on it... The flavor is pretty weak and the coffee itself is too and unlike the Caramel one, this one has a nasty bitter aftertaste like the flavor is artificial.  Yeah, I know it's artificial but I hate that it actually tastes like a chemical!  Yuk...<br /><br />This is one of those coffees you can serve to company who doesn't know good coffee or people you don't want to have come to your house any more as one cup of this and they won't be your friends after it!  It really is quite bad.",0,0
I thought this coffee was really horrible. Had one cup and will throw the rest away because it can't be returned.,0,0
"I always liked Orange Crush when I was a kid.  Sure, it was just sugar water with some flavoring, but it was really good flavoring...except it had a chemical whang and an aftertaste that you just had to accept.<br /><br />Well, no more.  Switch Orange Tangerine drink is NOT sugar water.  It's 100% juice, the good stuff, and it's lightly carbonated, not overcarbonated like those sugary soft drinks either.  And no chemical whang!  And no aftertaste!<br /><br />Vitamin C and no added sugar?  I'll take that.  Of course there's sugar content, but it's just the natural sugar that comes in the juice.  Why didn't people think of this stuff when I was a kid?",1,0
This is NOT Disco Dust which is edible and made for baking. DO NOT purchase this product for such purposes!,0,0
"What can i say, I love iced tea. I drink a lot of it, and love the convenience of these new individual serving size packets. I am also a big fan of Stash products, or rather of all the other stash products I have tried.<br />I purchased a case of all 4 varieties,  (when i say i drink iced tea, i am not kidding) and these were all way too weak when i mixed them in my 16 ounces water bottle.<br />I finally found that i needed to dissolve 2 packets in a small bit of hot water first (if not the tea clumped on me), and than add a packet of sweetener before adding the rest of the water just to make these palatable.<br />Over all I am very dissatisfied with the product and will stick with the other brands that are out on the market.",0,0
"This product was a big disappointment.  The picture on the box is misleading.  These bars aren't chunky, the dough isn't flaky (more like cardboardy), they aren't filled with pieces of fruit, and if you didn't read the label (which claims about 30 items down the ingredient list that ""yogurt powder"" is added), you wouldn't have any idea you were eating yogurt at all.  The bars probably contain MSGs, with all of the ""natural flavorings,"" etc.  Whatever calcium and other vitamins might be present have probably been added in what the ingredients list calls a ""vitamin blend"" -- there's too little food in the bar to give you much nutrition, anyway.  The experience is very much like eating a long, thin fig bar -- only not as tasty.  The fig bars I buy at my neighborhood grocery contain sugar, but also real fruit, whole wheat, no MSGs, and no trans fats. I'd rather eat one of them. I won't be purchasing this product again.",0,0
"this was terrible coffee Wolfgang Pucks Jamaicamecrazy, I received a partial refund but felt I should have gotten a full refund as I can't drink the coffee and had to throw it all away. Also had to pay shipping and should not of had to. I would like a response to this.",0,0
"I have a One:One Coffee Pod machine and have ordered pods online before.  These looked good and sounded like high quality coffee- albeit a little pricey for 12 pods.  This was the worst cup of coffee I have ever tasted!  It left a bitter taste in my mouth that lingered for hours.  Yuck!  Don't be fooled by the fancy name and packaging. It tastes like rocket fuel.  Fortunately, Amazon refunded my money when I explained how bad it was. Throwing the whole box away!",0,0
"This coffee smells really bad - there is definitely no ""delicious"" smell as it brews or as you take sips from your mug.  It tastes just as awful too.  The first couple sips that I had, with my nose closed so I couldn't smell it, wasn't too bad but the more sips I took the more disgusting it was.  It is absolutely stomach turning (to me at least) and unfortunately I will never drink the whole bag. It tastes like a weak, poorly brewed, cheap cup of coffee (though not cheap!).  The only positive note is that it did not irritate my bladder - just irritated my nose and taste buds.",0,0
"Since I am willing to try alot of new things. I thought that I would buy this product.. And since I do like hot cocoa, I bought 2 boxes.. WORST thing I could have done.. This is bland, with very little flavour. It also has a grainy texture near the bottom of the mug.<br />Personally I will not buy this product again. I will stay with swiss miss or another hot cocoa brand for the Keurig K-Cup",0,0
"My baby didn't seem into these dinners, so I tried them. They're not terrible, but not good either. We'll stick with the EB fruits and veggies until she's ready for table foods.",0,0
"Well I have tried many protein shakes and the taste is never been a problem for me but this was just horrible. It's GOOD for YOU but I just couldn't do it. It might be a good protein shake but it's extremely salty, i tried to drink it with other liquids to help the taste but every time it tasted worse and worse =( too bad because I was looking forwards to see some results!!",0,0
"Ended up with a case of the Stephen's chocolate rasberry and a case of the Stephen's French Vanilla<br />""cocoa.""  I really wanted to believe the 100% positive feedback on here, but you should never believe<br />what you read, right?<br />I guess the 1st thing I look for in a cocoa is that the liquid has some body to it. This seemed just<br />watery and weak....it looks like a no-fat soymilk.<br /><br />It kind of makes me think of baby formula...........the other reviewer who said like a hot vanilla<br />milkshake is close to describing it but it is not creamy enough in my opinion to qualify as such.....<br /><br />I added MORE than the recommended amount for the serving size and it was still just so-so.<br /><br />I am just not impressed with the way the powder globbed together and<br />clumped and stuck to the spoon~yuk.<br />$5 a can for 12 serving when you can get the packets of the standard cocoa for 99 cents on sale for<br />the same amount of servings?<br />Granted, Amazon's price is better than the manufactures website since there is NO shipping through<br />here and shipping is at a premium through Stephen's Gourmet.<br />I would say unless you have tried this somehow elsewhere first, do not bother wasting your money to buy<br />6lbs of cocoa mix at one time. You might end up doing what I will have to do when you don't like it.<br />sigh<br />give it away~",0,0
"This is not jerky, this is processed, hard like a rock, very greasy and stale smelling stripe of something that you can't break into anything smaller than 2 inches long and that certainly is not the size of a training treat! The dogs- 45lb dogs that will eat anything- were not impressed, it was hard to chew, and it sounded like they were crunching rocks, most of them spat it out after a few chews, left it there, this would be the first time they would not eat something in their entire lives, these dogs will work for lettuce. Where is a zero star button?",0,0
"I have never tasted such a poor excuse for a cocoa drink. It has such a bad aftertaste that I checked the box to see if I ordered sugarfree by mistake! I will toss this  and chalk it up to a loss but if you are reading this, dont buy this brand. Its downright awful!",0,0
it tastes pretty decent but I wasn't aware how pricy they were when I bought them.  I paid $17.44 for a pack of 12!!!  What a rip off!,1,0
